source,target,domain,source_annotation,target_annotation,edge_color
Voting Rights Act,Voting Rights Act Amendments,Voting,Landmark,Expansion,gray
National Voter Registration Act,Bipartisan Campaign Reform Act (McCain–Feingold),Voting,Expansion,Expansion,green
Help America Vote Act,Voting Rights Act Amendments,Voting,Expansion,Expansion,green
Shelby County v. Holder,EO 13799: Presidential Advisory Commission on Election Integrity,Voting,Reversal,Reversal,red
Brnovich v. DNC,Freedom to Vote Act,Voting,Reversal,Proposed,gray
John Lewis Voting Rights Advancement Act,Brnovich v. DNC,Voting,Proposed,Reversal,gray
EO 14019,EO 13985: Advancing Racial Equity,Voting,Expansion,Expansion,green
Roe v. Wade,Hyde Amendment,Repro,Landmark,Reversal,gray
Planned Parenthood v. Casey,Freedom of Access to Clinic Entrances Act,Repro,Expansion,Expansion,green
Hyde Amendment,Planned Parenthood v. Casey,Repro,Reversal,Expansion,orange
Gonzales v. Carhart,Whole Woman’s Health v. Hellerstedt,Repro,Reversal,Expansion,orange
Dobbs v. Jackson Women’s Health,EO 14076: Protecting Access to Reproductive Healthcare,Repro,Reversal,Expansion,orange
Lawrence v. Texas,Matthew Shepard and James Byrd Jr. Hate Crimes Prevention Act,LGBTQ+,Landmark,Expansion,gray
United States v. Windsor,EO 13672: Prohibiting Discrimination,LGBTQ+,Expansion,Expansion,green
Obergefell v. Hodges,EEOC v. Harris Funeral Homes,LGBTQ+,Landmark,Expansion,gray
Bostock v. Clayton County,Executive Order 13985: Equity Across Federal Government,LGBTQ+,Expansion,Expansion,green
EO 13672,Obergefell v. Hodges,LGBTQ+,Expansion,Landmark,gray
Fair Sentencing Act,Death in Custody Reporting Act,Justice,Expansion,Expansion,green
First Step Act,Police Accountability Act,Justice,Expansion,Proposed,gray
Civil Rights Act of 1991,Violence Against Women Act,Justice,Expansion,Expansion,green
Milliken v. Bradley,Plyler v. Doe,Justice,Reversal,Expansion,orange
Plyler v. Doe,Sentencing Reform Act,Justice,Expansion,Landmark,gray
Americans with Disabilities Act,Telecommunications Act,Disability,Landmark,Expansion,gray
ADA Amendments Act,ADA Integration Mandate Enforcement,Disability,Expansion,Expansion,green
Individuals with Disabilities Education Act,ADA Amendments Act,Disability,Expansion,Expansion,green
Voting Accessibility for the Elderly and Handicapped Act,Air Carrier Access Act,Disability,Expansion,Expansion,green
Clean Air Act,Clean Water Act,Environment,Landmark,Landmark,gray
Clean Water Act,Endangered Species Act,Environment,Landmark,Landmark,gray
Endangered Species Act,"Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA)",Environment,Landmark,Landmark,gray
National Environmental Policy Act,Clean Air Act,Environment,Landmark,Landmark,gray
Paris Agreement Reentry,Executive Order 14008: Tackling the Climate Crisis,Environment,Expansion,Expansion,green
Inflation Reduction Act,EO 14096: Revitalizing Environmental Justice,Environment,Expansion,Expansion,green
Uniformed and Overseas Citizens Absentee Voting Act,National Voter Registration Act,Voting,Expansion,Expansion,green
EO 13799: Presidential Advisory Commission on Election Integrity,For the People Act,Voting,Reversal,Proposed,gray
Whole Woman’s Health v. Hellerstedt,June Medical Services v. Russo,Repro,Expansion,Expansion,green
June Medical Services v. Russo,Title IX Final Rule,Repro,Expansion,Reversal,orange
EO 13988: Preventing Discrimination on Basis of Gender Identity,EO 13988: Gender Identity/Orientation Discrimination,LGBTQ+,Expansion,Expansion,green
Matthew Shepard and James Byrd Jr. Hate Crimes Prevention Act,GLAD v. United States,LGBTQ+,Expansion,Expansion,green
Sentencing Reform Act,Bail Reform Act,Justice,Landmark,Reversal,gray
EO 13166: Improving Access to Services for Persons with Limited English Proficiency,USA PATRIOT Act,Justice,Expansion,Reversal,orange
Air Carrier Access Act,Fair Housing Amendments Act,Disability,Expansion,Expansion,green
Freedom of Access to Clinic Entrances Act,Gonzales v. Carhart,Repro,Expansion,Reversal,orange
